test loss, test acc, exec time: [0.6678752303123474, 0.4390934705734253, '00:00:29']
test loss, test acc, exec time: [0.6937566995620728, 0.07932011038064957, '00:00:30']
test loss, test acc, exec time: [0.6506555080413818, 0.4745042622089386, '00:00:29']
test loss, test acc, exec time: [0.6525883078575134, 0.4490084946155548, '00:00:29']
test loss, test acc, exec time: [0.6942466497421265, 0.08356940746307373, '00:00:30']
test loss, test acc, exec time: [0.6692126393318176, 0.4603399336338043, '00:00:30']
test loss, test acc, exec time: [0.6525363922119141, 0.44475921988487244, '00:00:29']
test loss, test acc, exec time: [0.6934740543365479, 0.08640226721763611, '00:00:28']
test loss, test acc, exec time: [0.6929863095283508, 0.10764872282743454, '00:00:30']
test loss, test acc, exec time: [0.6941063404083252, 0.09773371368646622, '00:00:29']
