test loss, test acc, exec time: [1.8448805809020996, 0.4390934705734253, '00:00:14']
test loss, test acc, exec time: [0.26554444432258606, 0.5821529626846313, '00:00:14']
test loss, test acc, exec time: [0.353873610496521, 0.4589235186576843, '00:00:15']
test loss, test acc, exec time: [0.43387752771377563, 0.6076487302780151, '00:00:14']
test loss, test acc, exec time: [2.383873701095581, 0.49575069546699524, '00:00:14']
test loss, test acc, exec time: [0.3306643068790436, 0.5325779318809509, '00:00:14']
test loss, test acc, exec time: [1.3506017923355103, 0.5070821642875671, '00:00:14']
test loss, test acc, exec time: [0.31997960805892944, 0.4716714024543762, '00:00:14']
test loss, test acc, exec time: [1.2439918518066406, 0.5113314390182495, '00:00:14']
test loss, test acc, exec time: [0.35166415572166443, 0.4645892381668091, '00:00:14']
