f1score
0.73333333,0.615,0.8203125,0.87741935,0.34482759
1.0,0.71733967,0.8385346,0.92307692,0.86486486
0.96551724,0.81127983,0.87409551,0.8875,0.57142857
1.0,0.49546828,0.79515152,0.93333333,0.87719298
0.91891892,0.53571429,0.76902887,0.81333333,0.17647059
0.95890411,0.63509749,0.83910891,0.94573643,0.88372093
0.98550725,0.64179104,0.8130719,0.94308943,0.86792453
0.94736842,0.90448343,0.9245283,0.94814815,0.84615385
0.98181818,0.65048544,0.80952381,0.8974359,0.54545455
0.98734177,0.51381215,0.77493606,0.93793103,0.81818182

