test loss, test acc, exec time: [0.6931483149528503, 0.1021764725446701, '00:53:07']
test loss, test acc, exec time: [0.6931483745574951, 0.10182353109121323, '00:53:08']
test loss, test acc, exec time: [0.6931483745574951, 0.10041176527738571, '00:52:49']
test loss, test acc, exec time: [0.6931483149528503, 0.100352942943573, '00:52:15']
test loss, test acc, exec time: [0.6931482553482056, 0.09729411453008652, '00:53:05']
test loss, test acc, exec time: [0.6931484341621399, 0.10235293954610825, '00:52:46']
test loss, test acc, exec time: [0.6931484341621399, 0.09958823770284653, '00:52:27']
test loss, test acc, exec time: [0.6931483745574951, 0.10141176730394363, '00:52:52']
test loss, test acc, exec time: [0.6931483745574951, 0.10041176527738571, '00:52:17']
test loss, test acc, exec time: [0.6931483149528503, 0.10264705866575241, '00:53:41']
