test loss, test acc, exec time: [0.5152047276496887, 0.5289124846458435, '00:01:21']
test loss, test acc, exec time: [0.4671061933040619, 0.6201591491699219, '00:01:22']
test loss, test acc, exec time: [0.5454081892967224, 0.4058355391025543, '00:01:22']
test loss, test acc, exec time: [0.4913610816001892, 0.556498646736145, '00:01:22']
test loss, test acc, exec time: [0.5759100317955017, 0.494960218667984, '00:01:21']
test loss, test acc, exec time: [0.5472996234893799, 0.5793103575706482, '00:01:23']
test loss, test acc, exec time: [0.4900285005569458, 0.5448275804519653, '00:01:23']
test loss, test acc, exec time: [0.4938814342021942, 0.5745357871055603, '00:01:21']
test loss, test acc, exec time: [0.5120081305503845, 0.5469496250152588, '00:01:21']
test loss, test acc, exec time: [0.5499178171157837, 0.5251989364624023, '00:01:22']
