test loss, test acc, exec time: [0.09498089551925659, 0.24137930572032928, '00:00:19']
test loss, test acc, exec time: [0.09218722581863403, 0.1867816150188446, '00:00:19']
test loss, test acc, exec time: [0.07986677438020706, 0.2298850566148758, '00:00:21']
test loss, test acc, exec time: [0.08532390743494034, 0.25, '00:00:20']
test loss, test acc, exec time: [0.08826623857021332, 0.18390804529190063, '00:00:20']
test loss, test acc, exec time: [0.08720386028289795, 0.23563218116760254, '00:00:19']
test loss, test acc, exec time: [0.09332943707704544, 0.23563218116760254, '00:00:19']
test loss, test acc, exec time: [0.08638960123062134, 0.22701148688793182, '00:00:20']
test loss, test acc, exec time: [0.0862029641866684, 0.21551723778247833, '00:00:20']
test loss, test acc, exec time: [0.08358566462993622, 0.19540229439735413, '00:00:22']
