test loss, test acc, exec time: [0.11649996787309647, 0.8626062273979187, '00:00:37']
test loss, test acc, exec time: [0.09464568644762039, 0.8682719469070435, '00:00:36']
test loss, test acc, exec time: [0.11493808031082153, 0.8626062273979187, '00:00:36']
test loss, test acc, exec time: [0.11448325961828232, 0.8498583436012268, '00:00:36']
test loss, test acc, exec time: [0.12727369368076324, 0.8201133012771606, '00:00:36']
test loss, test acc, exec time: [0.11591722816228867, 0.7861189842224121, '00:00:35']
test loss, test acc, exec time: [0.11926370114088058, 0.8895184397697449, '00:00:36']
test loss, test acc, exec time: [0.12033331394195557, 0.8002833127975464, '00:00:36']
test loss, test acc, exec time: [0.1444207727909088, 0.6940509676933289, '00:00:35']
test loss, test acc, exec time: [0.11590242385864258, 0.7322946190834045, '00:00:35']
