test loss, test acc, exec time: [0.04945242777466774, 0.8673740029335022, '00:01:24']
test loss, test acc, exec time: [0.047290652990341187, 0.8721485137939453, '00:01:20']
test loss, test acc, exec time: [0.04584136977791786, 0.8790450692176819, '00:01:19']
test loss, test acc, exec time: [0.05014298856258392, 0.8631299734115601, '00:01:19']
test loss, test acc, exec time: [0.04845329374074936, 0.8689655065536499, '00:01:19']
test loss, test acc, exec time: [0.04898844659328461, 0.8663129806518555, '00:01:19']
test loss, test acc, exec time: [0.04820362478494644, 0.8763925433158875, '00:01:19']
test loss, test acc, exec time: [0.04649672657251358, 0.8790450692176819, '00:01:18']
test loss, test acc, exec time: [0.051258910447359085, 0.8610079288482666, '00:01:19']
test loss, test acc, exec time: [0.04645027965307236, 0.8785145878791809, '00:01:19']
