test loss, test acc, exec time: [0.3803420066833496, 0.6201591491699219, '00:01:30']
test loss, test acc, exec time: [0.28491201996803284, 0.7618036866188049, '00:01:27']
test loss, test acc, exec time: [0.3088543117046356, 0.761273205280304, '00:01:28']
test loss, test acc, exec time: [0.3136816918849945, 0.7283819913864136, '00:01:26']
test loss, test acc, exec time: [0.2957804799079895, 0.7952254414558411, '00:01:25']
test loss, test acc, exec time: [0.6521251201629639, 0.7448275685310364, '00:01:26']
test loss, test acc, exec time: [0.3579639494419098, 0.6625994443893433, '00:01:26']
test loss, test acc, exec time: [0.4166067838668823, 0.546419084072113, '00:01:26']
test loss, test acc, exec time: [0.2591550052165985, 0.7931034564971924, '00:01:25']
test loss, test acc, exec time: [0.28355443477630615, 0.7798408269882202, '00:01:26']
