test loss, test acc, exec time: [0.7992228865623474, 0.4589235186576843, '00:00:12']
test loss, test acc, exec time: [0.6789674162864685, 0.4518413543701172, '00:00:12']
test loss, test acc, exec time: [0.657762885093689, 0.5580736398696899, '00:00:14']
test loss, test acc, exec time: [0.7851635217666626, 0.4872521162033081, '00:00:14']
test loss, test acc, exec time: [0.6392195820808411, 0.5269121527671814, '00:00:14']
test loss, test acc, exec time: [0.7162032127380371, 0.4716714024543762, '00:00:14']
test loss, test acc, exec time: [0.8361046314239502, 0.45750707387924194, '00:00:14']
test loss, test acc, exec time: [0.8455787301063538, 0.45467421412467957, '00:00:14']
test loss, test acc, exec time: [0.6751636266708374, 0.49291783571243286, '00:00:14']
test loss, test acc, exec time: [0.7035622000694275, 0.5070821642875671, '00:00:14']
