recall
0.79892761,0.67721519,0.92444444,0.93333333,0.87032419
0.88520408,0.79562044,0.91447368,0.94886364,0.87104623
0.8381201,0.78091873,0.89159292,0.93502825,0.80387409
0.85751979,0.78091873,0.90658174,0.92896175,0.88860104
0.87409201,0.68705036,0.91552511,0.9327957,0.86197917
0.83333333,0.76727273,0.92325581,0.91621622,0.8828125
0.85714286,0.71174377,0.91162791,0.953125,0.84143223
0.8685567,0.74061433,0.89578714,0.93667546,0.9144385
0.88607595,0.73026316,0.90909091,0.89673913,0.83033419
0.8441247,0.76744186,0.92077088,0.93593315,0.86458333

