test loss, test acc, exec time:[2.039463996887207, 0.020152941346168518, '00:09:47']
test loss, test acc, exec time:[2.151777982711792, 0.020105881616473198, '00:09:42']
test loss, test acc, exec time:[1.7395472526550293, 0.020494118332862854, '00:09:40']
test loss, test acc, exec time:[1.9746432304382324, 0.019999999552965164, '00:09:40']
test loss, test acc, exec time:[2.1514387130737305, 0.019388236105442047, '00:09:39']
test loss, test acc, exec time:[1.7944003343582153, 0.020188234746456146, '00:09:40']
test loss, test acc, exec time:[2.025298833847046, 0.01967058889567852, '00:09:40']
test loss, test acc, exec time:[1.801953673362732, 0.019611764699220657, '00:09:39']
test loss, test acc, exec time:[1.8265910148620605, 0.019741175696253777, '00:09:40']
test loss, test acc, exec time:[1.695287823677063, 0.020635293796658516, '00:09:40']
