test loss, test acc, exec time: [0.22682499885559082, 0.8181818127632141, '00:02:28']
test loss, test acc, exec time: [0.2122383713722229, 0.8160364627838135, '00:02:36']
test loss, test acc, exec time: [0.20963485538959503, 0.8176454901695251, '00:03:29']
test loss, test acc, exec time: [0.18373924493789673, 0.8431214690208435, '00:04:17']
test loss, test acc, exec time: [0.2064482420682907, 0.8275676965713501, '00:04:16']
test loss, test acc, exec time: [0.20231753587722778, 0.830517590045929, '00:04:00']
test loss, test acc, exec time: [0.2015843540430069, 0.8272995352745056, '00:04:32']
test loss, test acc, exec time: [0.2015339583158493, 0.8323947191238403, '00:04:40']
test loss, test acc, exec time: [0.23212388157844543, 0.8066505789756775, '00:04:03']
test loss, test acc, exec time: [0.19719481468200684, 0.8270313739776611, '00:04:02']
test loss, test acc, exec time: [0.6612600088119507, 0.7809064388275146, '00:02:15']
test loss, test acc, exec time: [0.6671414971351624, 0.7492625117301941, '00:02:15']
test loss, test acc, exec time: [0.6613061428070068, 0.7862697839736938, '00:02:14']
test loss, test acc, exec time: [0.6535180807113647, 0.8211316466331482, '00:02:13']
test loss, test acc, exec time: [0.6534336805343628, 0.8181818127632141, '00:02:13']
test loss, test acc, exec time: [0.6638780236244202, 0.7653526663780212, '00:02:14']
test loss, test acc, exec time: [0.6536146402359009, 0.8235451579093933, '00:02:13']
test loss, test acc, exec time: [0.6515929102897644, 0.8307857513427734, '00:02:12']
test loss, test acc, exec time: [0.6562365889549255, 0.806382417678833, '00:02:13']
test loss, test acc, exec time: [0.652629017829895, 0.8248860239982605, '00:02:15']
test loss, test acc, exec time: [0.6505492329597473, 0.8331992626190186, '00:02:13']
test loss, test acc, exec time: [0.6568673253059387, 0.8020917177200317, '00:02:12']
test loss, test acc, exec time: [0.6531961560249329, 0.8213998675346375, '00:02:12']
test loss, test acc, exec time: [0.6672816276550293, 0.7455081939697266, '00:02:14']
test loss, test acc, exec time: [0.6591005325317383, 0.7951193451881409, '00:02:14']
test loss, test acc, exec time: [0.663058876991272, 0.77339768409729, '00:02:15']
test loss, test acc, exec time: [0.650827944278717, 0.8361490964889526, '00:02:15']
test loss, test acc, exec time: [0.6633029580116272, 0.7819790840148926, '00:02:13']
test loss, test acc, exec time: [0.6528612375259399, 0.8219361901283264, '00:02:15']
test loss, test acc, exec time: [0.6681080460548401, 0.7425583004951477, '00:02:13']
test loss, test acc, exec time: [0.6545695662498474, 0.8165727853775024, '00:02:13']
test loss, test acc, exec time: [0.6567707061767578, 0.8042370676994324, '00:02:13']
test loss, test acc, exec time: [0.6551090478897095, 0.8141592741012573, '00:02:12']
test loss, test acc, exec time: [0.6563023924827576, 0.8066505789756775, '00:02:12']
test loss, test acc, exec time: [0.652289092540741, 0.8267632126808167, '00:02:13']
test loss, test acc, exec time: [0.6556107401847839, 0.8096004128456116, '00:02:33']
test loss, test acc, exec time: [0.6547651290893555, 0.8181818127632141, '00:02:34']
test loss, test acc, exec time: [0.6541656851768494, 0.8179136514663696, '00:02:22']
