test loss, test acc, exec time: [0.7562875151634216, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562862634658813, 0.2459104359149933, '00:02:26']
test loss, test acc, exec time: [0.7562732100486755, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562323212623596, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563236355781555, 0.2459104359149933, '00:02:26']
test loss, test acc, exec time: [0.7563581466674805, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.756233811378479, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.756413996219635, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562743425369263, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562992572784424, 0.2459104359149933, '00:02:26']
test loss, test acc, exec time: [0.7563636302947998, 0.2459104359149933, '00:02:26']
test loss, test acc, exec time: [0.7563315033912659, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563355565071106, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562973499298096, 0.2459104359149933, '00:02:29']
test loss, test acc, exec time: [0.7563188076019287, 0.2459104359149933, '00:02:31']
test loss, test acc, exec time: [0.7562611103057861, 0.2459104359149933, '00:02:29']
test loss, test acc, exec time: [0.7562790513038635, 0.2459104359149933, '00:02:28']
test loss, test acc, exec time: [0.7562888264656067, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563331127166748, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563377618789673, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562873363494873, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562702894210815, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563191652297974, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563661932945251, 0.2459104359149933, '00:02:28']
test loss, test acc, exec time: [0.7562199234962463, 0.2459104359149933, '00:02:36']
test loss, test acc, exec time: [0.7564069032669067, 0.2459104359149933, '00:02:29']
test loss, test acc, exec time: [0.7562589645385742, 0.2459104359149933, '00:02:29']
test loss, test acc, exec time: [0.7562663555145264, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562543749809265, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7562754154205322, 0.2459104359149933, '00:02:27']
test loss, test acc, exec time: [0.7563265562057495, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7563623189926147, 0.2459104359149933, '00:02:11']
test loss, test acc, exec time: [0.7563571929931641, 0.2459104359149933, '00:02:18']
test loss, test acc, exec time: [0.7562971115112305, 0.2459104359149933, '00:02:15']
test loss, test acc, exec time: [0.7562575936317444, 0.2459104359149933, '00:02:19']
test loss, test acc, exec time: [0.7563321590423584, 0.2459104359149933, '00:02:17']
test loss, test acc, exec time: [0.7562732696533203, 0.2459104359149933, '00:02:21']
test loss, test acc, exec time: [0.756430983543396, 0.2459104359149933, '00:02:19']
test loss, test acc, exec time: [0.7563592195510864, 0.2459104359149933, '00:02:19']
test loss, test acc, exec time: [0.7562585473060608, 0.2459104359149933, '00:02:18']
test loss, test acc, exec time: [0.7563245296478271, 0.2459104359149933, '00:02:17']
test loss, test acc, exec time: [0.7562897205352783, 0.2459104359149933, '00:02:15']
test loss, test acc, exec time: [0.7562134265899658, 0.2459104359149933, '00:02:17']
test loss, test acc, exec time: [0.7564095258712769, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7562803030014038, 0.2459104359149933, '00:02:15']
test loss, test acc, exec time: [0.7563242316246033, 0.2459104359149933, '00:02:20']
test loss, test acc, exec time: [0.7563633918762207, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7563158869743347, 0.2459104359149933, '00:02:15']
test loss, test acc, exec time: [0.7563561201095581, 0.2459104359149933, '00:02:18']
test loss, test acc, exec time: [0.7562963962554932, 0.2459104359149933, '00:02:14']
test loss, test acc, exec time: [0.7563477754592896, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7563017010688782, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7563408017158508, 0.2459104359149933, '00:02:16']
test loss, test acc, exec time: [0.7563202977180481, 0.2459104359149933, '00:02:14']
test loss, test acc, exec time: [0.7562879920005798, 0.2459104359149933, '00:02:16']
