test loss, test acc, exec time: [0.3663420081138611, 0.5923840403556824, '00:01:58']
test loss, test acc, exec time: [0.292650043964386, 0.7363904714584351, '00:02:20']
test loss, test acc, exec time: [0.26943036913871765, 0.7371949553489685, '00:02:26']
test loss, test acc, exec time: [0.2787041664123535, 0.7023330926895142, '00:02:07']
test loss, test acc, exec time: [0.3175775110721588, 0.6873156428337097, '00:02:08']
test loss, test acc, exec time: [0.2851513624191284, 0.7366586327552795, '00:02:17']
test loss, test acc, exec time: [0.3097895383834839, 0.685706615447998, '00:02:14']
test loss, test acc, exec time: [0.2639547288417816, 0.7763475179672241, '00:02:06']
test loss, test acc, exec time: [0.7563642263412476, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562565207481384, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562997341156006, 0.2459104359149933, '00:01:49']
test loss, test acc, exec time: [0.7563024163246155, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562968730926514, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563390135765076, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563228011131287, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563464641571045, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.756248414516449, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563387155532837, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562978863716125, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563503980636597, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563247680664062, 0.2459104359149933, '00:01:49']
test loss, test acc, exec time: [0.7562582492828369, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562882900238037, 0.2459104359149933, '00:01:49']
test loss, test acc, exec time: [0.7562940716743469, 0.2459104359149933, '00:01:49']
test loss, test acc, exec time: [0.7563241124153137, 0.2459104359149933, '00:01:50']
test loss, test acc, exec time: [0.7562441229820251, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562851905822754, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7562689185142517, 0.2459104359149933, '00:01:49']
test loss, test acc, exec time: [0.7563184499740601, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.7563416957855225, 0.2459104359149933, '00:01:48']
test loss, test acc, exec time: [0.3033619523048401, 0.7377312779426575, '00:02:26']
test loss, test acc, exec time: [0.2627032995223999, 0.7540895938873291, '00:02:27']
test loss, test acc, exec time: [0.3000175654888153, 0.7117189764976501, '00:02:25']
test loss, test acc, exec time: [0.2618338167667389, 0.7723250389099121, '00:02:27']
test loss, test acc, exec time: [0.28530022501945496, 0.7530168890953064, '00:02:28']
test loss, test acc, exec time: [0.2706220746040344, 0.7481898665428162, '00:02:29']
test loss, test acc, exec time: [0.32981324195861816, 0.6433359980583191, '00:02:29']
test loss, test acc, exec time: [0.3621096909046173, 0.6655939817428589, '00:02:28']
