test loss, test acc, exec time: [0.4975230395793915, 0.2459104359149933, '00:06:00']
test loss, test acc, exec time: [0.4976218342781067, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49763190746307373, 0.2459104359149933, '00:06:27']
test loss, test acc, exec time: [0.4978450834751129, 0.2459104359149933, '00:06:27']
test loss, test acc, exec time: [0.49749860167503357, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49744415283203125, 0.2459104359149933, '00:06:12']
test loss, test acc, exec time: [0.4974907636642456, 0.2459104359149933, '00:06:19']
test loss, test acc, exec time: [0.49764764308929443, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4975585341453552, 0.2459104359149933, '00:06:18']
test loss, test acc, exec time: [0.49764499068260193, 0.2459104359149933, '00:06:18']
test loss, test acc, exec time: [0.4509851336479187, 0.37597212195396423, '00:06:24']
test loss, test acc, exec time: [0.4976291358470917, 0.2459104359149933, '00:06:19']
test loss, test acc, exec time: [0.49749627709388733, 0.2459104359149933, '00:06:23']
test loss, test acc, exec time: [0.4976849853992462, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.4975343942642212, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49784350395202637, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.43983083963394165, 0.3802627921104431, '00:06:22']
test loss, test acc, exec time: [0.4975645840167999, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4974966049194336, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49767395853996277, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4980682134628296, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.497620552778244, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.4977870285511017, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4978291392326355, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49744853377342224, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49764883518218994, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.4973999261856079, 0.24617859721183777, '00:06:20']
test loss, test acc, exec time: [0.497854620218277, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4973706901073456, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4975719153881073, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.4975472092628479, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4972895681858063, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4975775182247162, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4975527226924896, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49790695309638977, 0.2459104359149933, '00:06:19']
test loss, test acc, exec time: [0.4980013072490692, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.497387170791626, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49755844473838806, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49734047055244446, 0.2459104359149933, '00:06:19']
test loss, test acc, exec time: [0.4973052740097046, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4976785480976105, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49772006273269653, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49757927656173706, 0.2459104359149933, '00:06:21']
test loss, test acc, exec time: [0.49755746126174927, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.49761489033699036, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4136454463005066, 0.4105658233165741, '00:06:21']
test loss, test acc, exec time: [0.4975912272930145, 0.2459104359149933, '00:06:20']
test loss, test acc, exec time: [0.4976627230644226, 0.2459104359149933, '00:06:18']
test loss, test acc, exec time: [0.49768543243408203, 0.2459104359149933, '00:06:19']
test loss, test acc, exec time: [0.49754923582077026, 0.2459104359149933, '00:03:59']
test loss, test acc, exec time: [0.49758413434028625, 0.2459104359149933, '00:03:43']
test loss, test acc, exec time: [0.4974440932273865, 0.2459104359149933, '00:03:40']
test loss, test acc, exec time: [0.4974474310874939, 0.2459104359149933, '00:03:33']
test loss, test acc, exec time: [0.49760517477989197, 0.2459104359149933, '00:03:38']
test loss, test acc, exec time: [0.49747446179389954, 0.2459104359149933, '00:03:39']
test loss, test acc, exec time: [0.497597873210907, 0.2459104359149933, '00:03:30']
test loss, test acc, exec time: [0.49746158719062805, 0.2459104359149933, '00:03:36']
test loss, test acc, exec time: [0.4975142180919647, 0.2459104359149933, '00:03:35']
test loss, test acc, exec time: [0.4978121519088745, 0.2459104359149933, '00:03:34']
test loss, test acc, exec time: [0.4976043105125427, 0.2459104359149933, '00:03:37']
test loss, test acc, exec time: [0.4979982078075409, 0.2459104359149933, '00:03:37']
test loss, test acc, exec time: [0.4980248808860779, 0.2459104359149933, '00:03:41']
test loss, test acc, exec time: [0.4978703260421753, 0.2459104359149933, '00:03:39']
test loss, test acc, exec time: [0.4975370466709137, 0.2459104359149933, '00:03:36']
test loss, test acc, exec time: [0.4973117411136627, 0.24617859721183777, '00:03:36']
test loss, test acc, exec time: [0.49758192896842957, 0.2459104359149933, '00:03:36']
test loss, test acc, exec time: [0.49747708439826965, 0.2459104359149933, '00:03:42']
test loss, test acc, exec time: [0.4977879524230957, 0.2459104359149933, '00:03:38']
