test loss,test acc,exec time
1.0000593662261963, 0.10000000149011612," 01:35:04
"
1.0000402927398682, 0.09929411858320236," 01:37:18
"
1.0000379085540771, 0.10229411721229553," 01:34:45
"
1.0000460147857666, 0.09970588237047195," 01:36:02
"
1.0000410079956055, 0.09794117510318756," 01:36:18
"
1.0000364780426025, 0.09805882722139359," 01:36:19
"
1.0000457763671875, 0.10211765021085739," 01:35:50
"
1.0000444650650024, 0.10070588439702988," 01:35:39
"
1.0000444650650024, 0.09929411858320236," 01:36:00
"
1.0000450611114502, 0.10000000149011612," 01:35:55
"
