test loss,test acc,exec time
0.30850106477737427, 0.02187058888375759," 06:39:21
"
0.3025803864002228, 0.04015294089913368," 06:42:21
"
0.30229002237319946, 0.03983529284596443," 06:56:26
"
0.30850106477737427, 0.020188234746456146," 06:54:35
"
0.30850106477737427, 0.020447058603167534," 06:44:43
"
0.29662707448005676, 0.078411765396595," 06:46:35
"
0.284380704164505, 0.09331765025854111," 06:56:43
"
0.30850106477737427, 0.02037646993994713," 06:57:20
"
0.3026058077812195, 0.03921176493167877," 06:56:13
"
0.30850106477737427, 0.021164705976843834," 06:54:02
"
