test loss,test acc,exec time
0.10878737270832062, 0.8866855502128601, 00:00:52
0.11654936522245407, 0.7365438938140869, 00:00:52
0.11893585324287415, 0.9079319834709167, 00:00:48
0.11288877576589584, 0.7747875452041626, 00:00:53
0.0938405990600586, 0.8555240631103516, 00:00:55
0.10126958042383194, 0.9164305925369263, 00:00:57
0.12194835394620895, 0.8895184397697449, 00:00:58
0.10531410574913025, 0.8356940746307373, 00:00:53
0.10135754197835922, 0.8356940746307373, 00:00:53
0.11759231239557266, 0.7577903866767883, 00:00:53
