test loss,test acc,exec time
0.041948284953832626, 0.8964706063270569," 01:19:59
"
0.006104510277509689, 0.9959999918937683," 01:19:30
"
0.26991987228393555, 0.20135293900966644," 01:19:52
"
0.032083120197057724, 0.8981176614761353," 01:21:09
"
0.06224251165986061, 0.7968235015869141," 01:20:46
"
0.09190874546766281, 0.6975294351577759," 01:21:04
"
0.09239732474088669, 0.6964117884635925," 01:21:07
"
0.12591545283794403, 0.602117657661438," 01:20:51
"
0.017597027122974396, 0.9967058897018433," 01:20:55
"
0.03384970501065254, 0.896117627620697," 01:23:28
"
