test loss,test acc,exec time
0.007790443953126669, 0.6156235337257385, 06:43:42
0.007786991074681282, 0.6177529692649841, 06:44:39
0.0077154068276286125, 0.6190353035926819, 07:05:00
0.010990732349455357, 0.5126117467880249, 07:01:19
0.007878334261476994, 0.61582350730896, 06:41:29
0.007749114651232958, 0.6378940939903259, 06:43:14
0.007782316301018, 0.6158588528633118, 06:57:19
0.007674868684262037, 0.6163764595985413, 06:59:22
0.008496666327118874, 0.6639412045478821, 06:46:42
0.007829071022570133, 0.6214235424995422, 12:43:37
