test loss,test acc,exec time
0.4132617115974426, 0.10247059166431427, 02:34:35
0.4132617115974426, 0.0999411791563034, 02:35:03
0.41326168179512024, 0.09829411655664444, 02:34:55
0.4132617115974426, 0.10176470875740051, 02:35:24
0.4132617115974426, 0.10100000351667404, 02:35:22
0.4132617115974426, 0.09964706003665924, 02:35:20
0.41326168179512024, 0.10052940994501114, 02:35:49
0.41326168179512024, 0.10135293751955032, 02:35:23
0.41326168179512024, 0.09970588237047195, 02:34:58
0.41326168179512024, 0.10105882585048676, 02:35:47
