test loss, test acc, exec time: [0.09080897271633148, 0.09964706003665924, '00:04:01']
test loss, test acc, exec time: [0.09032930433750153, 0.0985882356762886, '00:04:00']
test loss, test acc, exec time: [0.09089720249176025, 0.1008235290646553, '00:03:59']
test loss, test acc, exec time: [0.09051184356212616, 0.09611764550209045, '00:04:00']
test loss, test acc, exec time: [0.09268362075090408, 0.09799999743700027, '00:04:00']
test loss, test acc, exec time: [0.09106142073869705, 0.10070588439702988, '00:04:00']
test loss, test acc, exec time: [0.09032878279685974, 0.09929411858320236, '00:04:00']
test loss, test acc, exec time: [0.09194400161504745, 0.09829411655664444, '00:04:00']
test loss, test acc, exec time: [0.09092782437801361, 0.10023529082536697, '00:04:01']
test loss, test acc, exec time: [0.09303922951221466, 0.1017058789730072, '00:03:59']
